Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Rainfall,Temperature,Humidity
Moong(Green Gram),1998,Kharif,west bengal,822.0,429,2152.5,81213.6,238.38,0.5075,30.310000000000002,28.642000000000003,84.69
Moong(Green Gram),1998,Rabi,west bengal,2729.0,1598,2152.5,269625.2,791.41,0.61,3.79,21.208000000000002,60.884
Moong(Green Gram),1998,Summer,west bengal,9320.0,2980,2152.5,920816.0,2702.8,0.312857143,3.98,31.43,60.555
Niger seed,1998,Kharif,west bengal,7587.0,4100,2152.5,749595.6,2200.23,0.4075,30.310000000000002,28.642000000000003,84.69
Other Kharif pulses,1998,Kharif,west bengal,768.0,318,2152.5,75878.4,222.72,0.516,30.310000000000002,28.642000000000003,84.69
Peas & beans (Pulses),1998,Rabi,west bengal,9230.0,6776,2152.5,911924.0,2676.7,0.70625,3.79,21.208000000000002,60.884
Ragi,1998,Kharif,west bengal,12895.0,15648,2152.5,1274026.0,3739.55,0.91,30.310000000000002,28.642000000000003,84.69
Rapeseed &Mustard,1998,Rabi,west bengal,344358.0,251740,2152.5,34022570.4,99863.82,0.667222222,3.79,21.208000000000002,60.884
Rice,1998,Summer,west bengal,1450473.0,4921984,2152.5,143306732.4,420637.17,3.22,3.98,31.43,60.555
Safflower,1998,Rabi,west bengal,48.0,16,2152.5,4742.4,13.92,0.4575,3.79,21.208000000000002,60.884
Small millets,1998,Kharif,west bengal,3742.0,1877,2152.5,369709.6,1085.18,0.575714286,30.310000000000002,28.642000000000003,84.69
Small millets,1998,Rabi,west bengal,1235.0,1387,2152.5,122018.0,358.15,1.035,3.79,21.208000000000002,60.884
Soyabean,1998,Kharif,west bengal,800.0,461,2152.5,79040.0,232.0,0.481666667,30.310000000000002,28.642000000000003,84.69
Sunflower,1998,Kharif,west bengal,149.0,111,2152.5,14721.2,43.21,0.71,30.310000000000002,28.642000000000003,84.69
Urad,1998,Kharif,west bengal,58878.0,25071,2152.5,5817146.4,17074.62,0.402222222,30.310000000000002,28.642000000000003,84.69
Urad,1998,Rabi,west bengal,15112.0,9700,2152.5,1493065.6,4382.48,0.649090909,3.79,21.208000000000002,60.884
Wheat,1998,Rabi,west bengal,367472.0,778090,2152.5,36306233.6,106566.88,1.870555556,3.79,21.208000000000002,60.884
Arhar/Tur,1999,Kharif,assam,7266.0,5102,2201.8,771140.58,1961.82,0.707826087,28.810000000000002,27.678000000000004,81.03999999999999
Castor seed,1999,Kharif,assam,1726.0,704,2201.8,183180.38,466.02,0.423333333,28.810000000000002,27.678000000000004,81.03999999999999
Cotton(lint),1999,Kharif,assam,1637.0,746,2201.8,173734.81,441.99,0.41173913,28.810000000000002,27.678000000000004,81.03999999999999
Gram,1999,Rabi,assam,2336.0,1196,2201.8,247919.68,630.72,0.470454545,1.71,18.648,62.64
Jute,1999,Kharif,assam,73545.0,657537,2201.8,7805330.85,19857.15,9.13173913,28.810000000000002,27.678000000000004,81.03999999999999
Linseed,1999,Rabi,assam,10248.0,5323,2201.8,1087620.24,2766.96,0.502727273,1.71,18.648,62.64
Maize,1999,Kharif,assam,19708.0,14056,2201.8,2091610.04,5321.16,0.613913043,28.810000000000002,27.678000000000004,81.03999999999999
Mesta,1999,Kharif,assam,5177.0,25515,2201.8,549435.01,1397.79,4.622380952,28.810000000000002,27.678000000000004,81.03999999999999
Niger seed,1999,Kharif,assam,8904.0,4582,2201.8,944981.52,2404.08,0.548947368,28.810000000000002,27.678000000000004,81.03999999999999
Other  Rabi pulses,1999,Rabi,assam,106576.0,58390,2201.8,11310910.88,28775.52,0.532173913,1.71,18.648,62.64
Rapeseed &Mustard,1999,Rabi,assam,286241.0,129425,2201.8,30378757.33,77285.07,0.479565217,1.71,18.648,62.64
Rice,1999,Summer,assam,294654.0,653783,2201.8,31271629.02,79556.58,1.990434783,8.04,29.345,56.875
Sesamum,1999,Kharif,assam,15143.0,7866,2201.8,1607126.59,4088.61,0.485217391,28.810000000000002,27.678000000000004,81.03999999999999
Small millets,1999,Kharif,assam,10681.0,5467,2201.8,1133574.53,2883.87,0.502727273,28.810000000000002,27.678000000000004,81.03999999999999
Wheat,1999,Rabi,assam,76310.0,97583,2201.8,8098780.3,20603.7,1.256818182,1.71,18.648,62.64
Cotton(lint),1999,Kharif,kerala,4772.0,7702,2914.6,506452.36,1288.44,1.61,41.79,23.844,90.482
Groundnut,1999,Kharif,kerala,6921.0,5144,2914.6,734525.73,1868.67,0.37,41.79,23.844,90.482
Jowar,1999,Kharif,kerala,2529.0,1287,2914.6,268402.77,682.83,0.255,41.79,23.844,90.482
Ragi,1999,Kharif,kerala,870.0,704,2914.6,92333.1,234.9,0.815,41.79,23.844,90.482
Rice,1999,Summer,kerala,58021.0,144551,2914.6,6157768.73,15665.67,2.292857143,10.110000000000001,26.125,78.98
